State,PC No,PC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Year 
Andhra Pradesh,1,Araku (ST),1,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,2024
Andhra Pradesh,1,Araku (ST),2,KOTHAPALLI GEETHA,Bharatiya Janata Party,417113,9312,426425,2024
Andhra Pradesh,1,Araku (ST),3,APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),119016,4113,123129,2024
Andhra Pradesh,1,Araku (ST),4,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858,892,25750,2024
Andhra Pradesh,1,Araku (ST),5,SAMAREDDY BALAKRISHNA,Independent,9493,42,9535,2024
Andhra Pradesh,1,Araku (ST),6,NIMMAKA JAYARAJU,Independent,8798,664,9462,2024
Andhra Pradesh,1,Araku (ST),7,ATHIDHI,Independent,8121,15,8136,2024
Andhra Pradesh,1,Araku (ST),8,CHANTI BADNAINA,Jai Bharat National Party,7205,47,7252,2024
Andhra Pradesh,1,Araku (ST),9,MOTTADAM . RAJABABU,Bharat Adivasi Party,6370,396,6766,2024
Andhra Pradesh,1,Araku (ST),10,RANJITH KUMAR PALAKA,Independent,6000,47,6047,2024
Andhra Pradesh,1,Araku (ST),11,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933,26,4959,2024
Andhra Pradesh,1,Araku (ST),12,MANDALA GIRIDHARA RAO,Independent,4931,36,4967,2024
Andhra Pradesh,1,Araku (ST),13,VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,4500,42,4542,2024
Andhra Pradesh,1,Araku (ST),14,NOTA,None of the Above,50205,265,50470,2024
Andhra Pradesh,2,Srikakulam,1,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,734501,19827,754328,2024
Andhra Pradesh,2,Srikakulam,2,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,420394,6033,426427,2024
Andhra Pradesh,2,Srikakulam,3,PEDADA PARAMESWARA RAO,Indian National Congress,6724,448,7172,2024
Andhra Pradesh,2,Srikakulam,4,SANAPALA SRAVAN KUMAR,Independent,5950,8,5958,2024
Andhra Pradesh,2,Srikakulam,5,NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,4661,81,4742,2024
Andhra Pradesh,2,Srikakulam,6,VABA YOGESWARA RAO,Independent,3472,126,3598,2024
Andhra Pradesh,2,Srikakulam,7,BETHA VIVEKANANDA MAHARAJ,Independent,2523,13,2536,2024
Andhra Pradesh,2,Srikakulam,8,YEDDU LAKSHMINARAYANA,Independent,1598,7,1605,2024
Andhra Pradesh,2,Srikakulam,9,BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party,1315,42,1357,2024
Andhra Pradesh,2,Srikakulam,10,IPPILI SEETHARAJU,Jai Bharat National Party,1080,50,1130,2024
Andhra Pradesh,2,Srikakulam,11,KAYA DURGARAO,Navarang Congress Party,811,7,818,2024
Andhra Pradesh,2,Srikakulam,12,CHELLURI DANIYAL,Independent,796,20,816,2024
Andhra Pradesh,2,Srikakulam,13,BOMMALI TIRUPATI RAO,Pyramid Party of India,589,5,594,2024
Andhra Pradesh,2,Srikakulam,14,NOTA,None of the Above,24498,107,24605,2024
Andhra Pradesh,3,Vizianagaram,1,APPALANAIDU KALISETTI,Telugu Desam,729284,13829,743113,2024
Andhra Pradesh,3,Vizianagaram,2,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,487691,6071,493762,2024
Andhra Pradesh,3,Vizianagaram,3,BOBBILI SRINU,Indian National Congress,10270,353,10623,2024
Andhra Pradesh,3,Vizianagaram,4,PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,7985,53,8038,2024
Andhra Pradesh,3,Vizianagaram,5,VELURI VENKATA TRINADHARAO,Independent,4146,6,4152,2024
Andhra Pradesh,3,Vizianagaram,6,ALLU SRIRAMULU,Independent,3396,5,3401,2024
Andhra Pradesh,3,Vizianagaram,7,SIYYADULA YELLA RAO,Independent,3105,2,3107,2024
Andhra Pradesh,3,Vizianagaram,8,SRINIVASA RAO SAMBHANA,Yuga Thulasi Party,1758,3,1761,2024
Andhra Pradesh,3,Vizianagaram,9,MARISERLA KRISHNAMURTHY NAIDU,Independent,1617,12,1629,2024
Andhra Pradesh,3,Vizianagaram,10,VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party,1544,9,1553,2024
Andhra Pradesh,3,Vizianagaram,11,CHINNAM ARUNA KUMAR,Jaibhim Rao Bharat Party,1401,10,1411,2024
Andhra Pradesh,3,Vizianagaram,12,ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party,1059,11,1070,2024
Andhra Pradesh,3,Vizianagaram,13,ADINARAYANA TADDI,Independent,855,1,856,2024
Andhra Pradesh,3,Vizianagaram,14,P V A ANANDA SAGAR,Independent,787,4,791,2024
Andhra Pradesh,3,Vizianagaram,15,SAKHINETI ANANTHA RAJU,Pyramid Party of India,715,10,725,2024
Andhra Pradesh,3,Vizianagaram,16,NOTA,None of the Above,23097,153,23250,2024
Andhra Pradesh,4,Visakhapatnam,1,SRIBHARAT MATHUKUMILI,Telugu Desam,893884,13583,907467,2024
Andhra Pradesh,4,Visakhapatnam,2,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,397821,5399,403220,2024
Andhra Pradesh,4,Visakhapatnam,3,P. SATYA REDDY,Indian National Congress,29430,837,30267,2024
Andhra Pradesh,4,Visakhapatnam,4,K.A. PAUL,Praja Shanthi Party,7529,167,7696,2024
Andhra Pradesh,4,Visakhapatnam,5,PEDAPENKI SIVA PRASADA RAO,Bahujan Samaj Party,6006,85,6091,2024
Andhra Pradesh,4,Visakhapatnam,6,BIKKAVOLU. CHALAMAJI,Navarang Congress Party,4883,1,4884,2024
Andhra Pradesh,4,Visakhapatnam,7,V.N. SATYA NARAYANA,Rashtriya Praja Congress  (Secular),2534,3,2537,2024
Andhra Pradesh,4,Visakhapatnam,8,ARUNA SRI MURALA,Independent,1991,2,1993,2024
Andhra Pradesh,4,Visakhapatnam,9,VASUPILLI SURESH,Independent,1931,2,1933,2024
Andhra Pradesh,4,Visakhapatnam,10,SONDI KRISHNA.,Independent,1811,7,1818,2024
Andhra Pradesh,4,Visakhapatnam,11,ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,1098,11,1109,2024
Andhra Pradesh,4,Visakhapatnam,12,DR. GANAPATHI KONGARAPU.,Republican Party of India (A),944,6,950,2024
Andhra Pradesh,4,Visakhapatnam,13,BANNA. RAMESH,Dalita Bahujana Party,941,7,948,2024
Andhra Pradesh,4,Visakhapatnam,14,P. SATYA VANI,Pyramid Party of India,875,7,882,2024
Andhra Pradesh,4,Visakhapatnam,15,DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal,760,7,767,2024
Andhra Pradesh,4,Visakhapatnam,16,CHAPPIDI RAMU,Independent,756,1,757,2024
Andhra Pradesh,4,Visakhapatnam,17,M.G.M. KHAN,Independent,738,4,742,2024
Andhra Pradesh,4,Visakhapatnam,18,SHANKAR DEVARA YADAV,Independent,656,5,661,2024
Andhra Pradesh,4,Visakhapatnam,19,VENU MADHAV KARRI,Independent,646,1,647,2024
Andhra Pradesh,4,Visakhapatnam,20,DR. ACHUTHA BALAJI YADAV (MURAPALA),Bharatha Chaitanya Yuvajana Party,628,10,638,2024
Andhra Pradesh,4,Visakhapatnam,21,THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,628,5,633,2024
Andhra Pradesh,4,Visakhapatnam,22,PIDIDHI APPARAO,Independent,576,4,580,2024
Andhra Pradesh,4,Visakhapatnam,23,G.A.N. ANAND,Independent,543,0,543,2024
Andhra Pradesh,4,Visakhapatnam,24,VADDI. HARI GANESH,Independent,518,2,520,2024
Andhra Pradesh,4,Visakhapatnam,25,JANARDHAN PONNADA.,Independent,499,1,500,2024
Andhra Pradesh,4,Visakhapatnam,26,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Jai Maha Bharath Party,494,6,500,2024
Andhra Pradesh,4,Visakhapatnam,27,JALADI VIJAYA KUMARI,Samajwadi Party,463,3,466,2024
Andhra Pradesh,4,Visakhapatnam,28,CHINTADA SURYAM,Naba Bharata Nirmana Seva Party,443,5,448,2024
Andhra Pradesh,4,Visakhapatnam,29,GANDIKOTA RAJESH,Navataram Party,392,1,393,2024
Andhra Pradesh,4,Visakhapatnam,30,KOLLI NAGA RAJU,Independent,322,7,329,2024
Andhra Pradesh,4,Visakhapatnam,31,METTA RAMA RAO,Independent,320,6,326,2024
Andhra Pradesh,4,Visakhapatnam,32,LAGUDU. GOVINDA RAO,Independent,293,1,294,2024
Andhra Pradesh,4,Visakhapatnam,33,MALLA SRAVANI,Independent,271,2,273,2024
Andhra Pradesh,4,Visakhapatnam,34,NOTA,None of the Above,5171,142,5313,2024
Andhra Pradesh,5,Anakapalle,1,C.M.RAMESH,Bharatiya Janata Party,750027,12042,762069,2024
Andhra Pradesh,5,Anakapalle,2,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,459762,5777,465539,2024
Andhra Pradesh,5,Anakapalle,3,VEGI VENKATESH,Indian National Congress,24833,818,25651,2024
Andhra Pradesh,5,Anakapalle,4,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19082,75,19157,2024
Andhra Pradesh,5,Anakapalle,5,VANKAYALA RAMACHANDRA RAO,Independent,4001,1,4002,2024
Andhra Pradesh,5,Anakapalle,6,LOVARAJU SIDDHA,Independent,3845,7,3852,2024
Andhra Pradesh,5,Anakapalle,7,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3549,8,3557,2024
Andhra Pradesh,5,Anakapalle,8,GARA SURYA RAO,Independent,3116,8,3124,2024
Andhra Pradesh,5,Anakapalle,9,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2589,30,2619,2024
Andhra Pradesh,5,Anakapalle,10,NAGESWARA RAO PETLA,Independent,2179,5,2184,2024
Andhra Pradesh,5,Anakapalle,11,ADARI SARAT CHANDRA,Jai Bharat National Party,1886,27,1913,2024
Andhra Pradesh,5,Anakapalle,12,VIJAYA LAKSHMI KARRI,Pyramid Party of India,1578,13,1591,2024
Andhra Pradesh,5,Anakapalle,13,DR. THUMMAPALA HARI  SHANKAR,Independent,1567,9,1576,2024
Andhra Pradesh,5,Anakapalle,14,JUNNURI J SRINIVAS,Independent,1195,6,1201,2024
Andhra Pradesh,5,Anakapalle,15,APPALANAIDU TUMMAGUNTA,Independent,1055,7,1062,2024
Andhra Pradesh,5,Anakapalle,16,NOTA,None of the Above,26084,151,26235,2024
Andhra Pradesh,6,Kakinada,1,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,718971,10728,729699,2024
Andhra Pradesh,6,Kakinada,2,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,495188,5020,500208,2024
Andhra Pradesh,6,Kakinada,3,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,20258,851,21109,2024
Andhra Pradesh,6,Kakinada,4,UDAY,Navarang Congress Party,15578,125,15703,2024
Andhra Pradesh,6,Kakinada,5,KANDREGULA NARASIMHAM,Bahujan Samaj Party,11916,63,11979,2024
Andhra Pradesh,6,Kakinada,6,DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,9818,36,9854,2024
Andhra Pradesh,6,Kakinada,7,TANGELLA SRINIVASU,Jatiya Jana Sena Party,6516,43,6559,2024
Andhra Pradesh,6,Kakinada,8,YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),3924,3,3927,2024
Andhra Pradesh,6,Kakinada,9,BUGATHA BANGARRAO,Communist Party of India  (Marxist\Leninist)  (Liberation),2816,7,2823,2024
Andhra Pradesh,6,Kakinada,10,SUDHA VEERA GANESH,Independent,2645,2,2647,2024
Andhra Pradesh,6,Kakinada,11,BHAVANI SANKAR PRASAD MERLA,Independent,1963,6,1969,2024
Andhra Pradesh,6,Kakinada,12,YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,1762,18,1780,2024
Andhra Pradesh,6,Kakinada,13,BODDETI APPARAO,Independent,1687,0,1687,2024
Andhra Pradesh,6,Kakinada,14,NEELAKANTAM DONAM,Independent,1401,11,1412,2024
Andhra Pradesh,6,Kakinada,15,PASUPULETI S.V.S.BHUSHANAM,Independent,1222,5,1227,2024
Andhra Pradesh,6,Kakinada,16,NOTA,None of the Above,17105,115,17220,2024
Andhra Pradesh,7,Amalapuram (SC),1,G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,2024
Andhra Pradesh,7,Amalapuram (SC),2,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362,4423,454785,2024
Andhra Pradesh,7,Amalapuram (SC),3,GOUTHAM JANGA,Indian National Congress,14523,559,15082,2024
Andhra Pradesh,7,Amalapuram (SC),4,DORABABU YALLA,Bahujan Samaj Party,5202,186,5388,2024
Andhra Pradesh,7,Amalapuram (SC),5,KATRU NAGA BABU,Telugu Nava Garjana Party,3736,5,3741,2024
Andhra Pradesh,7,Amalapuram (SC),6,VADDI LALITH KUMAR,Independent,2974,3,2977,2024
Andhra Pradesh,7,Amalapuram (SC),7,MAKEY DAVY PRASAD,Independent,2104,7,2111,2024
Andhra Pradesh,7,Amalapuram (SC),8,GUDE VENKATESWARULU,Independent,1741,4,1745,2024
Andhra Pradesh,7,Amalapuram (SC),9,RAMESH JILLELLA,Jatiya Jana Sena Party,866,6,872,2024
Andhra Pradesh,7,Amalapuram (SC),10,YALANGI RAMESH,Jaibhim Rao Bharat Party,738,2,740,2024
Andhra Pradesh,7,Amalapuram (SC),11,MATHA KRISHNA,Pyramid Party of India,718,1,719,2024
Andhra Pradesh,7,Amalapuram (SC),12,GIDDI JNANA PRAKASA RAO,Republican Party of India,717,9,726,2024
Andhra Pradesh,7,Amalapuram (SC),13,YADLA RAJESH,Liberation Congress Party,628,7,635,2024
Andhra Pradesh,7,Amalapuram (SC),14,KAPA KALYAN,Republican Party of India (A),579,2,581,2024
Andhra Pradesh,7,Amalapuram (SC),15,PATHURI RAMESH,Peoples Party of India (Democratic),502,3,505,2024
Andhra Pradesh,7,Amalapuram (SC),16,NOTA,None of the Above,13418,100,13518,2024
Andhra Pradesh,8,Rajahmundry,1,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,718641,7874,726515,2024
Andhra Pradesh,8,Rajahmundry,2,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,483172,4204,487376,2024
Andhra Pradesh,8,Rajahmundry,3,GIDUGU RUDRARAJU,Indian National Congress,31441,1067,32508,2024
Andhra Pradesh,8,Rajahmundry,4,GANESWARA RAO PARAMATA,Bahujan Samaj Party,20277,132,20409,2024
Andhra Pradesh,8,Rajahmundry,5,BATTULA BALARAMAKRISHNA,Navarang Congress Party,16930,78,17008,2024
Andhra Pradesh,8,Rajahmundry,6,SALOPANTULA RAGHAVENDRA RAO,Independent,3261,17,3278,2024
Andhra Pradesh,8,Rajahmundry,7,DR. MEDISI RATNARAO ALIAS VINAY,Independent,3109,6,3115,2024
Andhra Pradesh,8,Rajahmundry,8,MOHANARAO SINGULURI,Jai Bharat National Party,2818,15,2833,2024
Andhra Pradesh,8,Rajahmundry,9,MEDA SRINIVASA RAO,Rashtriya Praja Congress  (Secular),2422,7,2429,2024
Andhra Pradesh,8,Rajahmundry,10,BOMMANABOINA VSR MURTHY,Independent,2173,6,2179,2024
Andhra Pradesh,8,Rajahmundry,11,BHANU CHANDAR KURUVELLA,Independent,1955,3,1958,2024
Andhra Pradesh,8,Rajahmundry,12,JALLI BALA NAVEENA,Independent,1250,4,1254,2024
Andhra Pradesh,8,Rajahmundry,13,NOTA,None of the Above,24302,133,24435,2024
Andhra Pradesh,9,Narsapuram,1,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,699382,7961,707343,2024
Andhra Pradesh,9,Narsapuram,2,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,426037,4504,430541,2024
Andhra Pradesh,9,Narsapuram,3,K.B.R.NAIDU,Indian National Congress,34298,915,35213,2024
Andhra Pradesh,9,Narsapuram,4,PRASANNA KUMAR UNDURTHI,Independent,6350,14,6364,2024
Andhra Pradesh,9,Narsapuram,5,MEDAPATI VENKATA VARAHALA REDDY,Independent,5966,3,5969,2024
Andhra Pradesh,9,Narsapuram,6,SIRRA RAJU,Bahujan Samaj Party,5945,69,6014,2024
Andhra Pradesh,9,Narsapuram,7,BALAGAM NAYAKAR,Independent,5232,8,5240,2024
Andhra Pradesh,9,Narsapuram,8,NALLI RAJESH,Independent,4684,0,4684,2024
Andhra Pradesh,9,Narsapuram,9,KETHA SREENU,Independent,3140,5,3145,2024
Andhra Pradesh,9,Narsapuram,10,OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,3112,4,3116,2024
Andhra Pradesh,9,Narsapuram,11,ADDEPALLI VEERA VENKAT SUBBA RAO,Independent,2781,2,2783,2024
Andhra Pradesh,9,Narsapuram,12,ANAND CHANDULAL JASTI,Independent,2726,0,2726,2024
Andhra Pradesh,9,Narsapuram,13,GANJI PURNIMA,Republican Party of India (A),1645,4,1649,2024
Andhra Pradesh,9,Narsapuram,14,GEDALA LAXMANA RAO,Independent,1525,2,1527,2024
Andhra Pradesh,9,Narsapuram,15,ADDANKI DORABABU,Independent,1388,5,1393,2024
Andhra Pradesh,9,Narsapuram,16,GOTTUMUKKALA SHIVAJI,Independent,1378,6,1384,2024
Andhra Pradesh,9,Narsapuram,17,ADINARAYANA DUPPANAPUDI,Independent,1002,5,1007,2024
Andhra Pradesh,9,Narsapuram,18,MANNE LEELA RAMA NARENDRA,Pyramid Party of India,922,8,930,2024
Andhra Pradesh,9,Narsapuram,19,RAMA DURGA PRASAD THOLETI,Independent,919,1,920,2024
Andhra Pradesh,9,Narsapuram,20,RUKHMINI,Independent,683,3,686,2024
Andhra Pradesh,9,Narsapuram,21,ADABALA SIVA,Independent,682,1,683,2024
Andhra Pradesh,9,Narsapuram,22,NOTA,None of the Above,7554,123,7677,2024
Andhra Pradesh,10,Eluru,1,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,2024
Andhra Pradesh,10,Eluru,2,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318,5176,564494,2024
Andhra Pradesh,10,Eluru,3,KAVURI LAVANYA,Indian National Congress,19820,1006,20826,2024
Andhra Pradesh,10,Eluru,4,AJAY BABU BODA,Navarang Congress Party,12197,13,12210,2024
Andhra Pradesh,10,Eluru,5,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6664,68,6732,2024
Andhra Pradesh,10,Eluru,6,BOKINALA KOTESWARA RAO,Independent,2253,10,2263,2024
Andhra Pradesh,10,Eluru,7,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1523,3,1526,2024
Andhra Pradesh,10,Eluru,8,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1172,8,1180,2024
Andhra Pradesh,10,Eluru,9,AGASTEEN KOMMINA,Independent,1001,3,1004,2024
Andhra Pradesh,10,Eluru,10,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,777,9,786,2024
Andhra Pradesh,10,Eluru,11,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,729,3,732,2024
Andhra Pradesh,10,Eluru,12,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,710,5,715,2024
Andhra Pradesh,10,Eluru,13,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,705,10,715,2024
Andhra Pradesh,10,Eluru,14,NOTA,None of the Above,22371,144,22515,2024
Andhra Pradesh,11,Machilipatnam,1,BALASHOWRY VALLABHANENI,Janasena Party,712149,12290,724439,2024
Andhra Pradesh,11,Machilipatnam,2,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,495211,6049,501260,2024
Andhra Pradesh,11,Machilipatnam,3,GOLLU KRISHNA,Indian National Congress,31130,695,31825,2024
Andhra Pradesh,11,Machilipatnam,4,BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,10518,623,11141,2024
Andhra Pradesh,11,Machilipatnam,5,DEVAMANI DEVARAPALLI,Bahujan Samaj Party,9911,117,10028,2024
Andhra Pradesh,11,Machilipatnam,6,KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,5245,9,5254,2024
Andhra Pradesh,11,Machilipatnam,7,VALLABHANENI NAGA PAVAN KUMAR,Independent,5206,14,5220,2024
Andhra Pradesh,11,Machilipatnam,8,MARADANI K R SWAMY,Jai Maha Bharath Party,2206,8,2214,2024
Andhra Pradesh,11,Machilipatnam,9,GANDHI  DHANEKULA,Independent,1989,2,1991,2024
Andhra Pradesh,11,Machilipatnam,10,PAMULA BALA SOWRYAMMA,Independent,1576,6,1582,2024
Andhra Pradesh,11,Machilipatnam,11,ANUSHA YERUVA,Independent,1233,2,1235,2024
Andhra Pradesh,11,Machilipatnam,12,GUDAVALLI VENKATA KEDARESWARA RAO,Independent,1102,9,1111,2024
Andhra Pradesh,11,Machilipatnam,13,JOGI VEERANJANEYULU,Independent,1020,2,1022,2024
Andhra Pradesh,11,Machilipatnam,14,DAMODARA RAO GUDAVALLI,Independent,928,2,930,2024
Andhra Pradesh,11,Machilipatnam,15,APPARAO ENNETI,Independent,625,1,626,2024
Andhra Pradesh,11,Machilipatnam,16,NOTA,None of the Above,12008,118,12126,2024
Andhra Pradesh,12,Vijayawada,1,KESINENI SIVANATH (CHINNI),Telugu Desam,784722,9432,794154,2024
Andhra Pradesh,12,Vijayawada,2,KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,505637,6432,512069,2024
Andhra Pradesh,12,Vijayawada,3,BHARGAV VALLURU,Indian National Congress,23498,608,24106,2024
Andhra Pradesh,12,Vijayawada,4,KRISHNA KISHORE YANAMANDRA,Navataram Party,7710,168,7878,2024
Andhra Pradesh,12,Vijayawada,5,VENKATA ASHOK PAPPURI,Independent,6672,0,6672,2024
Andhra Pradesh,12,Vijayawada,6,DEVARAPALLI MALLIKARJUNA RAO (MAHESH),Independent,3199,0,3199,2024
Andhra Pradesh,12,Vijayawada,7,MEKA VENKATESWARA RAO,Bahujan Samaj Party,2184,49,2233,2024
Andhra Pradesh,12,Vijayawada,8,ANIL KUMAR MADDINENI,Independent,1240,0,1240,2024
Andhra Pradesh,12,Vijayawada,9,BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Telugu Rajadhikara Samiti Party,609,6,615,2024
Andhra Pradesh,12,Vijayawada,10,SYED KHAMURUNNISA,Navarang Congress Party,600,1,601,2024
Andhra Pradesh,12,Vijayawada,11,CHAGANTIPATI GANGADHAR GANDHI,Pyramid Party of India,486,3,489,2024
Andhra Pradesh,12,Vijayawada,12,DATLA LURTHU MERI,Jaibhim Rao Bharat Party,409,8,417,2024
Andhra Pradesh,12,Vijayawada,13,PERAM SIVA NAGESWARA RAO,Republican Party of India (Athawale),365,3,368,2024
Andhra Pradesh,12,Vijayawada,14,DEVARASETTY RAVEENDRA BABU,Andhra Rastra Praja Samithi,328,3,331,2024
Andhra Pradesh,12,Vijayawada,15,GUJJULA LALITHA,Socialist Unity Centre Of India (COMMUNIST),323,4,327,2024
Andhra Pradesh,12,Vijayawada,16,N DASARADHA RAMI REDDY,All India Jaihind Party,268,1,269,2024
Andhra Pradesh,12,Vijayawada,17,CHINTHALACHERUVU HEMALATHA,Jai Maha Bharath Party,239,5,244,2024
Andhra Pradesh,12,Vijayawada,18,NOTA,None of the Above,9038,155,9193,2024
Andhra Pradesh,13,Guntur,1,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020,13928,864948,2024
Andhra Pradesh,13,Guntur,2,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,513563,6690,520253,2024
Andhra Pradesh,13,Guntur,3,JANGALA AJAY KUMAR,Communist Party of India,8317,320,8637,2024
Andhra Pradesh,13,Guntur,4,SIVAREDDY. ENDREDDY,Navataram Party,5628,1,5629,2024
Andhra Pradesh,13,Guntur,5,TENALI PRAKASH,Bahujan Samaj Party,4172,100,4272,2024
Andhra Pradesh,13,Guntur,6,SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1959,5,1964,2024
Andhra Pradesh,13,Guntur,7,SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1748,5,1753,2024
Andhra Pradesh,13,Guntur,8,UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1273,2,1275,2024
Andhra Pradesh,13,Guntur,9,SYED. SAIDA,Navarang Congress Party,1216,6,1222,2024
Andhra Pradesh,13,Guntur,10,AMBATI CHALAMAIAH,Pyramid Party of India,1029,2,1031,2024
Andhra Pradesh,13,Guntur,11,PILLI BABU RAO,Independent,688,4,692,2024
Andhra Pradesh,13,Guntur,12,HARI VENKATA SATISH  KURNALA,Jai Bharat National Party,540,2,542,2024
Andhra Pradesh,13,Guntur,13,VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461,0,461,2024
Andhra Pradesh,13,Guntur,14,EMANI. CHANDRASEKHAR RAO,Navodayam Party,409,5,414,2024
Andhra Pradesh,13,Guntur,15,SHAIK. KHAJAVALI,Independent,387,4,391,2024
Andhra Pradesh,13,Guntur,16,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,374,4,378,2024
Andhra Pradesh,13,Guntur,17,KANNEBOYINA VAMSI KRISHNA YADAV,Independent,368,7,375,2024
Andhra Pradesh,13,Guntur,18,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,353,5,358,2024
Andhra Pradesh,13,Guntur,19,GAYATRI AUDHIPUDI,Independent,350,7,357,2024
Andhra Pradesh,13,Guntur,20,ASHOK ANAND GALI,Independent,335,0,335,2024
Andhra Pradesh,13,Guntur,21,SHAIK ASLAM AKTHER,Independent,334,1,335,2024
Andhra Pradesh,13,Guntur,22,PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,328,4,332,2024
Andhra Pradesh,13,Guntur,23,AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),308,4,312,2024
Andhra Pradesh,13,Guntur,24,DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),306,4,310,2024
Andhra Pradesh,13,Guntur,25,BURAGA RATNAM,Loktantrik Janta Dal,304,12,316,2024
Andhra Pradesh,13,Guntur,26,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268,0,268,2024
Andhra Pradesh,13,Guntur,27,SIVA PARVATHI,Independent,262,4,266,2024
Andhra Pradesh,13,Guntur,28,BOMMASANI MUTYALA RAO,All Peoples Party,200,7,207,2024
Andhra Pradesh,13,Guntur,29,SRIKRISHNA AKKISETTI,Independent,179,0,179,2024
Andhra Pradesh,13,Guntur,30,MADAVARAPU NAGA RAJU,Independent,172,0,172,2024
Andhra Pradesh,13,Guntur,31,NOTA,None of the Above,7210,177,7387,2024
Andhra Pradesh,14,Narsaraopet,1,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,798097,9899,807996,2024
Andhra Pradesh,14,Narsaraopet,2,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,642186,6081,648267,2024
Andhra Pradesh,14,Narsaraopet,3,GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress,17520,526,18046,2024
Andhra Pradesh,14,Narsaraopet,4,ORSU PREMARAJU,Bahujan Samaj Party,5276,33,5309,2024
